,d1,d2,plane_height,pass_height,cloud_height1,cloud_height2,cloud above plane height1,cloud above plane height1,roll,pitch,pixel height,x_target,pass_number,camera,timestamp,cloud_above_plane_height,pixel_height
26,16417.40000913195,2947.000751589352,5187.6196,5274.9834,7745.530545999145,5646.774743202292,,,-34.555542,4.7502055,,380,123,191422,2022-07-23 19:14:05,371.7913447647916,486.66886138916016
27,15853.484643194028,3752.320401051866,5244.008,5274.9834,7774.230407972833,5842.880907024699,,,-36.749187,4.7502055,,380,123,191422,2022-07-23 19:13:59,567.8975085871989,492.19376134872437
28,13864.935296966576,5545.448747931157,5277.1357,5274.9834,7586.459418580745,6200.78175277679,,,-28.204891,4.7502055,,380,123,191422,2022-07-23 19:13:43,925.7983543392902,503.39275646209717
29,16333.08338247061,3085.9979756144035,5197.8306,5274.9834,7453.315233567115,5623.986255446042,,,-35.07918,4.7502055,,380,123,191422,2022-07-23 19:14:04,349.0028570085424,458.14536023139954
30,16572.98099559141,2662.9141879558165,5169.789,5274.9834,7835.813714142059,5598.156000580638,,,-32.41844,4.7502055,,380,123,191422,2022-07-23 19:14:07,323.17260214313774,494.8948531150818
31,17258.684172932,590.7359296641899,5136.2803,5274.9834,7759.76783056193,5226.073440572891,,,27.208178,4.7502055,,380,123,191422,2022-07-23 19:14:21,-48.90995786460917,480.9954743385315
32,17312.63822274159,442.53389567113413,5138.204,5274.9834,8087.483824101597,5213.594606212663,,,31.22437,4.7502055,,477,123,191422,2022-07-23 19:14:22,-61.388792224836834,509.0
33,14273.946199401791,5249.567480796623,5274.2593,5274.9834,4030.97571284589,4817.013409162161,,,-29.959858,4.7502055,,380,123,191422,2022-07-23 19:13:46,-457.9699892753388,101.37932109832764
34,16879.891046217323,1927.6162432694794,5136.985,5274.9834,7564.076409738502,5414.146375134682,,,-28.324734,4.7502055,,380,123,191422,2022-07-23 19:14:12,139.16297669718188,467.7815179824829
35,15410.013818559833,4248.1215970014955,5263.839,5274.9834,7391.857194431084,5850.471095530082,,,-33.01698,4.7502055,,380,123,191422,2022-07-23 19:13:55,575.4876970925816,458.8085632324219
36,15524.851943678894,4126.918118446354,5259.724,5274.9834,7658.928359651623,5897.498061716201,,,-34.47505,4.7502055,,380,123,191422,2022-07-23 19:13:56,622.5146632787009,484.1595153808594
37,15956.624287026347,3623.2909576759416,5236.2544,5274.9834,7772.844036063436,5812.238113707405,,,-36.85321,4.7502055,,380,123,191422,2022-07-23 19:14:00,537.2547152699053,491.77703189849854
38,15747.024075022595,3879.5719531523273,5251.094,5274.9834,7873.899505442646,5897.269138269522,,,-36.188145,4.7502055,,380,123,191422,2022-07-23 19:13:58,622.285739832022,503.916109085083
39,14670.83874880405,4934.29134891784,5272.8496,5274.9834,7688.5610804169,6085.3372694586205,,,-31.30497,4.7502055,,380,123,191422,2022-07-23 19:13:49,810.3538710211205,500.55791902542114
40,15050.615873789051,4600.281096162501,5270.2207,5274.9834,7510.456273998246,5954.959778347484,,,-31.493832,4.7502055,,380,123,191422,2022-07-23 19:13:52,679.9763799099837,475.0535659790039
41,22488.971416520813,1314.344075846242,4523.689,5041.0493,4662.38739029923,4531.7911969381,,,-0.08870905,1.9473678,,233,124,191919,2022-07-23 19:19:13,-509.25811946814974,326.0
42,18719.422912132588,5154.03028291642,4720.3613,5041.0493,4376.411302901806,4625.6613550472375,,,-11.626446,1.9473678,,380,124,191919,2022-07-23 19:18:47,-415.3879613590125,288.5573751870543
43,18036.28826148221,5872.474336759835,4759.9473,5041.0493,7282.371919669657,5581.23370082654,,,-14.679602,1.9473678,,509,124,191919,2022-07-23 19:18:42,540.1843844202904,533.0
44,19425.302228999975,4425.0834437220765,4673.06,5041.0493,5457.764204811274,4851.815255751853,,,-7.983235,1.9473678,,380,124,191919,2022-07-23 19:18:52,-189.23406065439667,379.2288808822632
45,21464.356144359943,2351.293792469332,4555.369,5041.0493,3717.3893739104474,4463.574736705002,,,0.35949495,1.9473678,,380,124,191919,2022-07-23 19:19:06,-577.4745797012483,256.0
46,21023.824393925304,2797.501705380088,4574.9146,5041.0493,3767.7114787096093,4467.509542897428,,,-1.2470576,1.9473678,,380,124,191919,2022-07-23 19:19:03,-573.5397735088218,257.0
